carat,cut,color,clarity,depth,table,x,y,z,is_over_$1000
0.23,1,1,1,61.5,55,3.95,3.98,2.43,0
0.24,4,2,2,62.8,57,3.94,3.96,2.48,0
0.29,2,3,3,62.4,58,4.2,4.23,2.63,0
0.26,4,4,4,61.9,55,4.07,4.11,2.53,0
0.23,3,1,5,56.9,65,4.05,4.07,2.31,0
0.24,4,3,6,62.3,57,3.95,3.98,2.47,0
0.32,2,1,7,60.9,58,4.38,4.42,2.68,0
0.52,1,5,8,62.2,55,5.14,5.18,3.21,1
0.22,2,5,4,60.4,61,3.88,3.84,2.33,0
0.23,4,6,2,60.4,58,3.97,4.01,2.41,0
0.23,4,7,3,60.5,61,3.96,3.97,2.4,0
0.21,2,1,4,59.8,61,3.89,3.84,2.31,0
0.22,5,1,3,65.1,61,3.87,3.78,2.49,0
0.31,3,2,1,63.3,58,4.34,4.35,2.75,0
0.23,4,4,5,59.4,61,4,4.05,2.39,0
0.3,3,2,4,64,55,4.25,4.28,2.73,0
0.23,1,2,5,62.8,56,3.93,3.9,2.46,0
0.31,1,2,1,62.2,54,4.35,4.37,2.71,0
0.2,2,1,1,60.2,62,3.79,3.75,2.27,0
0.3,1,3,1,62,54,4.31,4.34,2.68,0
0.3,3,2,4,63.4,54,4.23,4.29,2.7,0
0.3,3,2,4,63.8,56,4.23,4.26,2.71,0
0.3,4,2,4,62.7,59,4.21,4.27,2.66,0
0.3,3,3,1,63.3,56,4.26,4.3,2.71,0
0.23,4,1,3,63.8,55,3.85,3.92,2.48,0
0.23,4,4,5,61,57,3.94,3.96,2.41,0
0.31,4,2,4,59.4,62,4.39,4.43,2.62,0
0.31,4,2,4,58.1,62,4.44,4.47,2.59,0
0.24,2,3,5,62.5,57,3.97,3.94,2.47,0
0.3,4,2,3,62.2,57,4.28,4.3,2.67,0
0.23,4,5,5,60.9,57,3.96,3.99,2.42,0
0.23,4,5,5,60,57,4,4.03,2.41,0
0.23,4,5,5,59.8,57,4.04,4.06,2.42,0
0.23,4,1,5,60.7,59,3.97,4.01,2.42,0
0.23,4,1,5,59.5,58,4.01,4.06,2.4,0
0.23,4,7,5,61.9,58,3.92,3.96,2.44,0
0.23,3,5,5,58.2,59,4.06,4.08,2.37,0
0.23,3,1,5,64.1,59,3.83,3.85,2.46,0
0.31,3,4,4,64,54,4.29,4.31,2.75,0
0.26,4,7,3,60.8,59,4.13,4.16,2.52,0
0.33,1,3,1,61.8,55,4.49,4.51,2.78,0
0.33,1,3,1,61.2,56,4.49,4.5,2.75,0
0.33,1,2,4,61.1,56,4.49,4.55,2.76,0
0.26,3,7,3,65.2,56,3.99,4.02,2.61,0
0.26,3,7,5,58.4,63,4.19,4.24,2.46,0
0.32,3,4,1,63.1,56,4.34,4.37,2.75,0
0.29,2,5,4,62.4,58,4.24,4.26,2.65,0
0.32,4,4,1,61.8,55,4.35,4.42,2.71,0
0.32,3,4,1,63.8,56,4.36,4.38,2.79,0
0.25,4,1,3,63.3,60,4,4.03,2.54,0
0.29,4,4,1,60.7,60,4.33,4.37,2.64,0
0.24,4,5,4,60.9,61,4.02,4.03,2.45,0
0.23,1,6,5,61.9,54,3.93,3.95,2.44,0
0.32,1,3,4,60.9,55,4.45,4.48,2.72,0
0.22,2,1,3,61.6,58,3.93,3.89,2.41,0
0.22,2,7,3,59.3,62,3.91,3.88,2.31,0
0.3,1,3,1,61,59,4.3,4.33,2.63,0
0.3,2,2,1,59.3,61,4.43,4.38,2.61,0
0.3,4,3,4,62.6,57,4.25,4.28,2.67,0
0.3,4,3,4,63,57,4.28,4.32,2.71,0
0.3,3,3,4,63.2,55,4.25,4.29,2.7,0
0.35,1,3,5,60.9,57,4.54,4.59,2.78,0
0.3,2,7,4,62.6,59,4.23,4.27,2.66,0
0.3,1,7,4,62.5,57,4.29,4.32,2.69,0
0.3,1,7,4,62.1,56,4.3,4.33,2.68,0
0.42,2,3,1,61.5,59,4.78,4.84,2.96,0
0.28,1,6,2,61.4,56,4.19,4.22,2.58,0
0.32,1,3,6,62,55.3,4.39,4.42,2.73,0
0.31,4,6,4,63.3,57,4.33,4.3,2.73,0
0.31,2,6,4,61.8,58,4.35,4.32,2.68,0
0.24,2,1,6,60.7,58,4.01,4.03,2.44,0
0.24,4,7,6,61.5,60,3.97,4,2.45,0
0.3,4,4,4,63.1,56,4.29,4.27,2.7,0
0.3,2,4,4,62.9,59,4.28,4.24,2.68,0
0.3,2,4,4,62.5,57,4.29,4.25,2.67,0
0.3,3,4,4,63.7,57,4.28,4.26,2.72,0
0.26,4,5,2,59.2,60,4.19,4.22,2.49,0
0.26,4,1,2,59.9,58,4.15,4.23,2.51,0
0.26,4,7,2,62.4,54,4.08,4.13,2.56,0
0.26,4,7,2,62.8,60,4.01,4.05,2.53,0
0.26,4,1,6,62.6,59,4.06,4.09,2.55,0
0.26,4,1,6,63.4,59,4,4.04,2.55,0
0.26,4,7,6,62.1,60,4.03,4.12,2.53,0
0.26,1,1,2,62.9,58,4.02,4.06,2.54,0
0.38,1,3,1,61.6,56,4.65,4.67,2.87,0
0.26,3,1,6,57.9,60,4.22,4.25,2.45,0
0.24,2,6,6,62.3,59,3.95,3.92,2.45,0
0.24,2,4,6,61.2,58,4.01,3.96,2.44,0
0.24,2,4,6,60.8,59,4.02,4,2.44,0
0.24,2,4,2,60.7,58,4.07,4.04,2.46,0
0.32,2,3,4,62.9,58,4.35,4.33,2.73,0
0.7,1,1,4,62.5,57,5.7,5.72,3.57,1
0.86,5,1,1,55.1,69,6.45,6.33,3.52,1
0.7,1,6,3,61.6,56,5.7,5.67,3.5,1
0.71,4,1,3,62.4,57,5.68,5.73,3.56,1
0.78,4,6,1,63.8,56,5.81,5.85,3.72,1
0.7,3,1,3,57.5,58,5.85,5.9,3.38,1
0.7,3,5,5,59.4,62,5.71,5.76,3.4,1
0.96,5,5,1,66.3,62,6.27,5.95,4.07,1
0.73,4,1,4,61.6,59,5.77,5.78,3.56,1
0.8,2,4,4,61.5,58,5.97,5.93,3.66,1
0.75,4,7,4,63.2,56,5.8,5.75,3.65,1
0.75,2,1,4,59.9,54,6,5.96,3.58,1
0.74,1,6,4,61.6,55,5.8,5.85,3.59,1
0.75,2,6,3,61.7,58,5.85,5.79,3.59,1
0.8,1,3,5,62.9,56,5.94,5.87,3.72,1
0.75,1,6,4,62.2,55,5.87,5.8,3.63,1
0.8,2,6,4,63,59,5.9,5.81,3.69,1
0.74,1,3,2,62.3,55,5.77,5.81,3.61,1
0.81,1,5,1,58.8,57,6.14,6.11,3.6,1
0.59,1,1,2,62,55,5.38,5.43,3.35,1
0.8,1,5,1,61.4,57,5.96,6,3.67,1
0.74,1,1,1,62.2,56,5.8,5.84,3.62,1
0.9,2,3,3,63,58,6.16,6.12,3.87,1
0.74,4,6,4,62.2,59,5.73,5.82,3.59,1
0.73,1,5,3,62.6,56,5.77,5.74,3.6,1
0.73,1,5,3,62.7,53,5.8,5.75,3.62,1
0.8,2,5,1,61.7,58,5.98,5.94,3.68,1
0.71,1,6,3,62.4,54,5.72,5.76,3.58,1
0.7,1,1,3,60.7,58,5.73,5.76,3.49,1
0.8,1,5,1,59.9,59,6.01,6.07,3.62,1
0.71,1,7,1,62.3,56,5.73,5.69,3.56,1
0.74,1,1,4,62.3,54,5.8,5.83,3.62,1
0.7,4,5,3,61.7,63,5.64,5.61,3.47,1
0.7,5,5,3,64.5,57,5.57,5.53,3.58,1
0.7,5,5,3,65.3,55,5.63,5.58,3.66,1
0.7,2,5,3,61.6,60,5.65,5.59,3.46,1
0.91,2,4,4,61.4,56,6.09,5.97,3.7,1
0.61,4,7,2,59.6,57,5.56,5.58,3.32,1
0.91,5,4,1,64.4,57,6.11,6.09,3.93,1
0.91,5,4,1,65.7,60,6.03,5.99,3.95,1
0.77,1,4,3,62,56,5.89,5.86,3.64,1
0.71,4,7,4,63.6,58,5.64,5.68,3.6,1
0.71,1,7,4,61.9,59,5.69,5.72,3.53,1
0.7,4,1,3,62.6,60,5.62,5.65,3.53,1
0.77,4,4,5,61.3,60,5.88,5.9,3.61,1
0.63,2,1,6,60.9,60,5.52,5.55,3.37,1
0.71,4,5,5,60.1,62,5.74,5.77,3.46,1
0.71,2,5,5,61.8,59,5.69,5.73,3.53,1
0.76,1,4,4,61.2,57,5.88,5.91,3.61,1
0.64,1,6,6,61.9,56,5.53,5.56,3.43,1
0.71,2,6,3,60.9,57,5.78,5.75,3.51,1
0.71,2,6,3,59.8,56,5.89,5.81,3.5,1
0.7,4,7,3,61.8,55,5.68,5.72,3.52,1
0.7,4,5,5,60,57,5.8,5.87,3.5,1
0.71,1,7,1,61.6,55,5.74,5.76,3.54,1
0.7,3,4,2,62.1,64,5.62,5.65,3.5,1
0.71,4,6,5,63.3,59,5.52,5.61,3.52,1
0.73,4,7,4,60.2,56,5.83,5.87,3.52,1
0.7,4,7,4,61.1,58,5.66,5.73,3.48,1
0.7,1,1,4,60.9,57,5.73,5.76,3.5,1
0.71,2,7,1,61.7,59,5.71,5.67,3.51,1
0.74,1,3,4,61.3,56,5.82,5.86,3.57,1
0.71,2,7,3,62.5,60,5.65,5.61,3.52,1
0.73,2,6,3,61.4,59,5.83,5.76,3.56,1
0.76,4,5,4,62.9,57,5.79,5.81,3.65,1
0.76,1,7,1,62.4,57,5.78,5.83,3.62,1
0.71,1,5,4,60.7,56,5.77,5.8,3.51,1
0.73,2,6,3,60.7,58,5.87,5.82,3.55,1
0.73,2,6,5,61.5,58,5.79,5.75,3.55,1
0.73,1,7,1,59.9,57,5.92,5.89,3.54,1
0.73,2,6,3,59.2,59,5.92,5.87,3.49,1
0.72,4,4,2,60.3,56,5.81,5.83,3.51,1
0.73,4,5,4,61.7,60,5.79,5.82,3.58,1
0.71,1,6,3,61.9,57,5.73,5.77,3.56,1
0.79,1,5,1,61.9,55,5.97,5.92,3.68,1
0.73,4,4,6,60.4,59,5.83,5.89,3.54,1
0.8,4,5,1,61,57,6.01,6.03,3.67,1
0.58,1,6,6,61.5,55,5.39,5.44,3.33,1
0.58,1,5,6,61.7,56,5.33,5.37,3.3,1
0.71,3,1,3,59.2,61,5.8,5.88,3.46,1
0.75,1,7,1,61.3,56,5.85,5.89,3.6,1
0.7,2,7,3,58,62,5.87,5.78,3.38,1
1.17,4,2,7,60.2,61,6.83,6.9,4.13,1
0.6,1,1,5,61.7,55,5.41,5.44,3.35,1
0.7,1,1,4,62.7,55,5.68,5.74,3.58,1
0.83,3,3,3,64.6,54,5.85,5.88,3.79,1
0.74,4,5,3,61.3,61,5.8,5.84,3.57,1
0.72,4,6,3,63.7,56.4,5.62,5.69,3.61,1
0.71,2,1,3,62.7,58,5.74,5.68,3.58,1
0.71,1,1,3,62.2,57,5.79,5.62,3.55,1
0.54,1,1,2,61.6,56,5.25,5.27,3.24,1
0.54,1,1,2,61.5,57,5.24,5.26,3.23,1
0.72,1,6,4,61.8,56,5.72,5.75,3.55,1
0.72,1,6,4,60.7,56,5.79,5.82,3.53,1
0.72,3,6,3,59.7,60.5,5.8,5.84,3.47,1
0.71,1,6,4,60.5,56,5.8,5.76,3.5,1
0.7,4,7,5,62.7,58,5.66,5.73,3.57,1
0.71,2,5,3,62.1,58,5.67,5.7,3.53,1
0.71,4,5,3,62.8,57,5.64,5.69,3.56,1
0.71,3,5,3,63.8,58,5.61,5.64,3.59,1
0.71,3,5,3,57.8,60,5.87,5.9,3.4,1
0.7,1,1,3,62.1,55,5.7,5.67,3.53,1
0.7,2,1,3,61.1,60,5.71,5.64,3.47,1
0.7,2,1,4,60,59,5.79,5.75,3.46,1
0.7,2,1,4,61.2,57,5.73,5.68,3.49,1
0.7,2,1,4,62.7,59,5.67,5.63,3.54,1
0.7,2,1,4,61,57,5.73,5.68,3.48,1
0.7,2,1,4,61,58,5.78,5.72,3.51,1
0.7,1,1,4,61.4,57,5.76,5.7,3.52,1
0.72,2,5,4,61.8,61,5.82,5.71,3.56,1
0.7,4,1,4,59.9,63,5.76,5.7,3.43,1
0.7,2,1,4,61.3,58,5.71,5.68,3.49,1
0.7,2,1,4,60.5,58,5.77,5.74,3.48,1
0.7,3,1,3,64.1,59,5.64,5.59,3.6,1
0.98,5,4,1,67.9,60,6.05,5.97,4.08,1
0.78,2,5,4,62.4,58,5.83,5.8,3.63,1
0.7,4,1,4,63.2,60,5.6,5.51,3.51,1
0.52,1,5,6,61.3,55,5.19,5.22,3.19,1
0.73,4,4,3,60.8,56,5.82,5.84,3.55,1
0.74,1,1,4,61.7,56,5.84,5.8,3.59,1
0.7,4,5,3,63.6,57,5.61,5.65,3.58,1
0.77,2,6,3,61.2,58,5.9,5.93,3.62,1
0.71,1,5,3,62.1,54,5.68,5.72,3.54,1
0.74,1,6,5,61.5,55,5.81,5.86,3.59,1
0.7,1,6,5,61.4,59,5.64,5.73,3.49,1
1.01,2,5,7,61.8,60,6.39,6.36,3.94,1
0.77,1,4,4,62.2,56,5.83,5.88,3.64,1
0.78,1,4,4,61.2,56,5.92,5.99,3.64,1
0.72,4,4,5,60.6,63,5.83,5.76,3.51,1
0.53,4,7,2,57.5,64,5.34,5.37,3.08,1
0.76,1,6,3,61.3,56,5.9,5.94,3.63,1
0.7,3,1,5,57.2,62,5.81,5.77,3.31,1
0.7,2,1,5,62.9,60,5.62,5.54,3.51,1
0.75,4,7,1,63.1,58,5.78,5.73,3.63,1
0.72,1,7,4,60.8,57,5.76,5.75,3.5,1
0.72,2,7,4,62.7,59,5.73,5.69,3.58,1
0.7,2,7,4,62.8,60,5.68,5.66,3.56,1
0.84,5,6,4,55.1,67,6.39,6.2,3.47,1
0.75,2,5,4,61.4,59,5.88,5.85,3.6,1
0.72,4,5,3,63,54,5.69,5.73,3.6,1
0.79,4,4,5,63.7,56,5.85,5.92,3.75,1
0.72,4,5,3,63.6,58,5.66,5.69,3.61,1
0.51,1,5,6,62,57,5.11,5.15,3.18,1
0.64,1,7,5,61.5,56,5.54,5.55,3.41,1
0.7,4,4,6,60.5,60,5.74,5.77,3.48,1
0.83,4,3,5,61.1,60,6.07,6.1,3.72,1
0.76,1,3,2,61.8,56,5.85,5.87,3.62,1
0.71,3,7,3,63.3,56,5.64,5.68,3.58,1
0.77,3,6,5,59.4,64,5.97,5.92,3.53,1
0.71,1,5,4,62.5,55,5.71,5.65,3.55,1
1.01,5,1,7,64.5,58,6.29,6.21,4.03,1
1.01,2,4,1,62.7,59,6.31,6.22,3.93,1
0.77,3,5,4,64.2,52,5.81,5.77,3.72,1
0.76,3,1,4,63.7,54,5.76,5.85,3.7,1
0.76,2,1,4,60.4,58,5.92,5.94,3.58,1
0.76,2,1,4,61.8,58,5.82,5.86,3.61,1
1.05,4,2,1,63.2,56,6.49,6.45,4.09,1
0.81,1,6,1,61.6,56,5.97,6.01,3.69,1
0.7,1,1,4,61.6,56,5.72,5.75,3.53,1
0.55,1,6,8,60.9,57,5.28,5.3,3.22,1
0.81,3,6,1,61,61,5.94,5.99,3.64,1
0.63,2,1,2,62.1,57,5.48,5.41,3.38,1
0.63,2,1,6,60.9,60,5.55,5.52,3.37,1
0.77,2,4,5,61.3,60,5.9,5.88,3.61,1
1.05,5,2,1,65.8,59,6.41,6.27,4.18,1
0.64,1,6,8,61.3,56,5.54,5.58,3.41,1
0.76,2,3,6,58.8,59,6,5.94,3.51,1
0.83,1,5,1,62.3,55,6.02,6.05,3.76,1
0.71,2,5,5,60.1,62,5.77,5.74,3.46,1
0.71,2,5,5,61.8,59,5.73,5.69,3.53,1
0.87,4,3,4,63.6,55.8,6.07,6.1,3.87,1
0.73,1,1,4,62.2,56,5.74,5.78,3.58,1
0.71,2,1,4,59.2,59,5.83,5.86,3.46,1
0.71,2,1,4,61.8,59,5.7,5.75,3.54,1
0.71,1,1,4,61.3,55,5.72,5.77,3.52,1
0.7,2,5,5,62.1,60,5.71,5.65,3.53,1
0.7,2,5,5,60.7,60,5.78,5.75,3.5,1
0.76,2,4,2,59.6,57,5.91,5.86,3.51,1
0.7,1,5,5,62.2,56,5.73,5.68,3.55,1
0.79,4,6,4,60.6,57,5.98,6.06,3.65,1
0.7,4,1,3,62.9,57,5.66,5.69,3.57,1
0.7,3,1,3,64.1,55,5.6,5.66,3.61,1
0.76,1,3,3,61.3,56,5.87,5.91,3.61,1
0.73,1,4,3,62.7,55,5.72,5.76,3.6,1
0.79,4,1,4,63.2,56,5.91,5.86,3.72,1
0.71,4,1,3,60.7,56,5.81,5.82,3.53,1
0.81,2,3,2,61.9,60,5.91,5.86,3.64,1
0.81,1,5,1,62.6,55,5.92,5.96,3.72,1
0.72,3,5,5,60.7,60,5.74,5.72,3.48,1
0.72,2,7,1,62,60,5.73,5.69,3.54,1
0.72,2,3,8,63,57,5.72,5.7,3.6,1
0.81,2,4,3,58,59,6.17,6.13,3.57,1
0.72,2,6,3,62.9,57,5.73,5.65,3.58,1
1,2,3,1,58.2,60,6.61,6.55,3.83,1
